"","Pathway total","Hits.total","Hits.sig","Expected","P(Fisher)","P(EASE)","P(Gamma)","Emp.Hits","Empirical","AdjP.Fisher","AdjP.EASE","AdjP.Gamma","Pathway Number","cpd.hits"
"Dicarboxylic acids","49","29","16","10.22","0.03087","0.060548","0.0037035","3","0.03","1","1","0.3904992","P16","EC000391;EC000392;EC00068;EC00085;EC0001012;EC00065;EC00066;EC00067;EC0001900;EC000188;EC000118;EC0005;EC000218;EC000418;EC0001023;EC0001094"
"Fatty lactones","7","3","3","0.85169","0.03121","0.19594","0.0037077","0","0","1","1","0.3904992","P17","EC000439;EC000380;EC000471"
"Coumaric acids","9","5","3","0.85169","0.03121","0.19594","0.0037077","0","0","1","1","0.3904992","P18","EC000416;EC000394;EC0001741"
"Coumarin glycosides","5","2","2","0.42585","0.044165","0.37573","0.0038746","0","0","1","1","0.3904992","P19","EC000445;EC0001046"
"LPGP","53","2","2","0.42585","0.044165","0.37573","0.0038746","0","0","1","1","0.3904992","P20","EC0001272;EC0001273"
"LPIP","53","2","2","0.42585","0.044165","0.37573","0.0038746","0","0","1","1","0.3904992","P21","EC0001309;EC0001310"
"Acyl carnitines","159","49","17","14.479","0.061601","0.10222","0.0041118","9","0.09","1","1","0.3947328","P22","EC0001477;EC000656;EC000657;EC000633;EC000638;EC000652;EC000654;EC000655;EC000659;EC000660;EC000669;EC000671;EC000672;EC000673;EC000686;EC000688;EC000694;EC000696;EC000699;EC000700"
"Hydroxy Fatty Acids","274","155","48","40.668","0.087104","0.11564","0.0044868","58","0.58","1","1","0.426246","P23","EC000391;EC000392;EC000326;EC00081;EC00085;EC000189;EC000245;EC000277;EC000150;EC000151;EC00065;EC00066;EC00067;EC000267;EC000268;EC000542;EC000538;EC000161;EC000225;EC000204;EC000205;EC0001127;EC0001128;EC000252;EC0001129;EC0001130;EC000286;EC00027;EC000328;EC000257;EC00011;EC0001139;EC0001144;EC000466;EC0001145;EC000274;EC000168;EC000169;EC000447;EC00016;EC0001149;EC00015;EC00063;EC000582;EC0001167;EC0001170;EC00054;EC000186"
"MAG","71","42","19","14.479","0.10423","0.16307","0.0047589","70","0.7","1","1","0.4473366","P24","EC0001094;EC0001412;EC0001418;EC000515;EC000516;EC0001405;EC0001414;EC0001420;EC000530;EC000118;EC00065;EC00066;EC00067;EC000523;EC000524;EC000490;EC0001023;EC000428;EC00042"
"Jasmonic acids","7","7","6","1.2775","0.1117","0.36884","0.0048829","2","0.02","1","1","0.4541097","P25","EC000188;EC000218;EC00054"
"12-oxophytodienoic acids","5","5","5","1.2775","0.1117","0.36884","0.0048829","3","0.03","1","1","0.4541097","P26","EC00011;EC00015;EC00063"
"Epoxy Fatty Acids","3","2","1","0.63877","0.11399","0.50686","0.0049216","0","0","1","1","0.4541097","P27","EC000204;EC000205"
"Phenylpropanoic acids","28","18","9","2.768","0.11721","0.283","0.0049767","0","0","1","1","0.4541097","P28","EC000384;EC000411;EC000401;EC000402;EC0001180"
"Fatty aldehydes","29","10","4","3.6197","0.1271","0.27541","0.0051496","20","0.2","1","1","0.4583144","P29","EC000531;EC0001845;EC000540;EC000584;EC000585;EC000587"
"O-PI","964","57","22","3.6197","0.1271","0.27541","0.0051496","4","0.04","1","1","0.4583144","P30","EC000556;EC0001288;EC0001280;EC0001287;EC0001289;EC0001291"
"Sphingoid base analogs","57","32","13","12.562","0.15783","0.24079","0.0057294","20","0.2","1","1","0.4984578","P31","EC0001819;EC00050;EC00051;EC00046;EC00047;EC000495;EC000496;EC000497;EC00059;EC00060;EC000565;EC000868;EC0001491;EC0001825;EC0001329;EC0001836"
"Short-chain acyl carnitines","77","26","12","6.3877","0.16063","0.28307","0.0057855","24","0.24","1","1","0.4984578","P32","EC0001390;EC000306;EC000674;EC000701;EC000308;EC000623;EC000631;EC000702;EC000704"
"Prostaglandins","107","78","21","11.711","0.16208","0.24972","0.0058149","47","0.47","1","1","0.4984578","P33","EC000179;EC000314;EC000315;EC0001345;EC000178;EC000240;EC000261;EC000162;EC000342;EC000530;EC000534;EC000535;EC000707;EC000708;EC0001418"
"C21 steroids","91","53","20","8.304","0.1791","0.2914","0.0061712","21","0.21","1","1","0.5183808","P34","EC000252;EC000429;EC000430;EC000263;EC000707;EC000708;EC000431;EC000432;EC000439;EC000530;EC0001130"
"Chalcones","15","3","2","0.85169","0.19676","0.6105","0.0065656","10","0.1","1","1","0.5449448","P35","EC000859;EC0001582"
"HpODEs","10","10","10","0.85169","0.19676","0.6105","0.0065656","32","0.32","1","1","0.5449448","P36","EC000150;EC000151"
"DiHODEs","10","10","10","0.85169","0.19676","0.6105","0.0065656","32","0.32","1","1","0.5449448","P37","EC000150;EC000151"
"O-LPE","15","4","2","0.85169","0.19676","0.6105","0.0065656","10","0.1","1","1","0.5449448","P38","EC0001248;EC0001249"
"Unsaturated Fatty Acids","265","153","67","28.106","0.20269","0.26375","0.0067039","19","0.19","1","1","0.5449448","P39","EC00091;EC000331;EC000194;EC000196;EC000164;EC000165;EC000167;EC000271;EC000266;EC000464;EC000439;EC000186;EC000228;EC000354;EC000451;EC000471;EC000503;EC0001017;EC0001019;EC000429;EC000430;EC000512;EC000247;EC0001487;EC000580;EC0001479;EC0001700;EC000521;EC000567;EC0001884;EC000710;EC0001887"
"Cinnamic acids","4","1","1","0.21292","0.21036","1","0.0068877","0","0","1","1","0.5449448","P40","EC000394"
"Polyprenylphenols","3","1","1","0.21292","0.21036","1","0.0068877","0","0","1","1","0.5449448","P41","EC000613"
"Guaianolides","4","1","1","0.21292","0.21036","1","0.0068877","0","0","1","1","0.5449448","P42","EC0001042"
"Ecdysones","4","1","1","0.21292","0.21036","1","0.0068877","0","0","1","1","0.5449448","P43","EC0001820"
"O-LPI","15","4","2","1.7034","0.22601","0.52555","0.0072793","7","0.07","1","1","0.5449448","P44","EC0001302;EC0001304;EC0001307"
"Saturated Fatty Acids","38","10","3","3.4068","0.23311","0.44133","0.0074649","8","0.08","1","1","0.5449448","P45","EC000334;EC000335;EC000337;EC0001015;EC000157"
"N-acyl ethanolamines","38","19","8","7.8782","0.23624","0.3691","0.0075482","26","0.26","1","1","0.5449448","P46","EC00059;EC00060;EC0001199;EC0001200;EC000560;EC000561;EC00050;EC00051;EC0001506;EC0001027"
"Other Eicosanoids","10","9","4","1.0646","0.28398","0.69241","0.0089528","5","0.05","1","1","0.6356488","P47","EC000204;EC000205"
"Cucurbitacins","9","4","2","1.0646","0.28398","0.69241","0.0089528","11","0.11","1","1","0.6356488","P48","EC000888;EC000890"
