Query.Mass,Matched.Compound,Matched.Form,Retention.Time,Mass.Diff,Empirical.Compound
189.01505,C00668,M-C3H4O2+H[1+],0.76,0.000826466770007528,EC00015
233.04104,C00668,M-CO+H[1+],0.8251,0.0009364667699856,EC00015
261.03568,C00668,M+H[1+],0.9009,0.00129646676998618,EC00015
259.1163,C00670,M+H[1+],5.4057,0.00157646676996137,EC00079
277.12689,C00670,M+H2O+H[1+],5.4053,0.00158646676999297,EC00079
223.03988,C00689,M+H+Na[2+],0.7551,0.00035353323002596,EC00080
351.06748,C00689,M-C3H4O2+H[1+],0.7726,0.00119646677001128,EC00080
423.08828,C00689,M+H[1+],0.9391,0.00149646676999282,EC00080
247.2408,C00712,M-H4O2+H[1+],8.8078,0.00117646677000494,EC00081
247.24086,C00712,M-H4O2+H[1+],9.9582,0.00111646677001431,EC00082
247.24089,C00712,M-H4O2+H[1+],9.4298,0.00108646677000479,EC00083
265.25117,C00712,M-H2O+H[1+],8.9952,0.00140646676999268,EC00081
265.25123,C00712,M-H2O+H[1+],9.5158,0.00134646676997363,EC00083
265.25126,C00712,M-H2O+H[1+],8.8085,0.00131646676999253,EC00081
265.25142,C00712,M-H2O+H[1+],10.0186,0.00115646676999859,EC00082
265.25143,C00712,M-H2O+H[1+],9.9627,0.00114646676996699,EC00082
283.26194,C00712,M+H[1+],8.8066,0.00123646677002398,EC00081
283.2624,C00712,M+H[1+],9.9614,0.000776466769991657,EC00082
283.26268,C00712,M+H[1+],10.0318,0.000496466770016468,EC00082
351.24921,C00712,M+HCOONa[1+],9.0922,0.00136646676997998,EC00081
147.06417,C00794,M-H4O2+H[1+],0.9537,0.000906466770032921,EC00065
165.07425,C00794,M-H2O+H[1+],1.1898,0.00142646676999902,EC00065
182.08011,C00794,M[1+],0.961,0.00110999999998285,EC00065
183.0849,C00794,M+H[1+],1.6831,0.00137646677001158,EC00065
183.08492,C00794,M+H[1+],0.9476,0.00135646677000523,EC00065
183.08522,C00794,M+H[1+],1.2871,0.00105646677002369,EC00065
205.06724,C00794,M+Na[1+],0.947,0.00103646677001734,EC00065
221.04114,C00794,M+K[1+],0.7497,0.000636466770004063,EC00065
284.29303,C00836,M-H2O+H[1+],7.2293,0.00174646676998691,EC00084
284.2935,C00836,M-H2O+H[1+],7.7448,0.00127646676997983,EC00085
284.29363,C00836,M-H2O+H[1+],9.8518,0.00114646676996699,EC00086
302.30393,C00836,M+H[1+],7.6953,0.00144646677000537,EC00085
302.30401,C00836,M+H[1+],7.3353,0.00136646676997998,EC00084
302.30408,C00836,M+H[1+],7.8264,0.00129646676998618,EC00085
324.28831,C00836,M+Na[1+],9.069,0.000933533230067951,EC00087
340.26159,C00836,M+K[1+],9.9924,0.00071353322999812,EC00086
