CLUSTERID1	CLUSTERID2	ComponentIndex	Cosine	DeltaMZ
1423	1431	8	0.8463	-17.026
1423	1434	8	0.8375	0.060
1431	1434	8	0.7813	17.086
2331	3323	9	0.798	-0.000
2430	3323	9	0.7232	-0.000
2573	3323	9	0.7569	-0.000
2905	3323	9	0.942	-0.146
2430	2903	9	0.7209	-0.000
2331	2573	9	0.7729	0.000
2430	2573	9	0.835	0.000
2573	2905	9	0.7259	0.146
2905	2994	9	0.752	-0.146
2331	2430	9	0.8103	0.000
2331	2905	9	0.7845	0.146
3147	3207	10	0.8826	-0.092
1993	2235	11	0.8909	-2.016
2038	2235	11	0.9448	-2.014
2176	2235	11	0.9306	-0.003
2235	2238	11	0.9212	-0.129
2038	2046	11	0.9505	-0.128
2046	2238	11	0.9342	-2.016
2142	2238	11	0.8816	-26.016
2176	2238	11	0.9152	-0.132
2046	2142	11	0.9034	24.000
2868	3333	12	0.8684	-2.025
2881	3333	12	0.7725	-15.995
3133	3333	12	0.8689	24.000
3333	3438	12	0.7304	20.026
3078	3090	12	0.9207	18.011
3078	3305	12	0.9276	28.031
2843	3308	12	0.8212	-28.031
2868	3308	12	0.806	-26.025
3212	3308	12	0.8362	-38.037
3240	3308	12	0.9313	0.000
3243	3308	12	0.811	102.104
3307	3308	12	0.7643	144.042
3308	3438	12	0.8476	44.026
2851	3307	12	0.7169	-190.083
3086	3307	12	0.7179	-134.021
3090	3307	12	0.947	28.032
3214	3307	12	0.7044	-164.068
3240	3307	12	0.7321	-144.041
3297	3307	12	0.7288	-162.056
3305	3307	12	0.9132	18.011
3307	3433	12	0.7	206.078
2548	3086	12	0.7835	-0.003
2686	3086	12	0.9329	-0.019
2843	3086	12	0.8612	-38.052
2851	3086	12	0.9027	-56.062
3086	3090	12	0.7143	-162.052
3086	3214	12	0.8986	30.047
3086	3297	12	0.8742	28.035
3086	3433	12	0.9394	72.057
2548	2686	12	0.8292	0.016
2548	2843	12	0.7877	38.049
2548	2851	12	0.8476	56.059
2548	3212	12	0.7659	48.054
2548	3214	12	0.7942	30.044
2548	3297	12	0.8294	28.032
2548	3433	12	0.7971	72.054
2548	3438	12	0.7248	54.044
2686	3438	12	0.8661	54.028
2843	3438	12	0.8791	15.995
2851	3438	12	0.8533	-2.016
2881	3438	12	0.8084	4.031
3212	3438	12	0.8784	5.989
3214	3438	12	0.8916	24.000
3433	3438	12	0.9485	-18.011
2868	3243	12	0.781	-128.129
3240	3243	12	0.8082	-102.104
2868	3240	12	0.8135	-26.025
2686	2851	12	0.9412	56.044
2843	2851	12	0.8865	18.011
2851	3212	12	0.868	-8.005
2851	3214	12	0.8886	-26.016
2851	3297	12	0.8667	-28.028
2851	3433	12	0.9225	15.995
2686	2843	12	0.8386	38.033
2686	3090	12	0.737	-162.071
2686	3212	12	0.8599	48.039
2686	3214	12	0.8925	30.028
2686	3297	12	0.8512	28.016
2686	3433	12	0.9496	72.039
2843	3212	12	0.8319	10.006
3212	3214	12	0.9079	-18.011
2843	3297	12	0.886	-10.017
2891	3297	12	0.7352	-9.048
2997	3297	12	0.7067	-9.055
3214	3297	12	0.8634	-2.012
3297	3433	12	0.8406	44.022
2843	3214	12	0.8663	-8.005
2843	3433	12	0.8328	34.006
2837	2997	12	0.9077	0.015
2891	2997	12	0.9382	0.007
3090	3305	12	0.7133	10.021
2837	2891	12	0.9148	0.007
814	1032	13	0.7507	357.185
1012	1032	13	0.9392	0.256
1031	1032	13	0.866	-0.075
713	1031	13	0.7965	131.094
814	1031	13	0.7032	357.260
1012	1031	13	0.8539	0.332
814	998	13	0.7288	284.232
814	1012	13	0.7445	356.928
1015	1176	14	0.9761	-0.000
1114	1176	14	0.9989	-0.000
1015	1114	14	0.9793	0.000
1302	1317	15	0.9857	0.374
1303	1317	15	0.9807	0.441
1306	1317	15	0.9838	0.069
1307	1317	15	0.9888	0.214
1302	1303	15	0.9846	-0.067
1303	1306	15	0.9843	0.372
1303	1307	15	0.9824	0.227
