row ID,row m/z,row retention time,row ion mobility,row ion mobility unit,row CCS,correlation group ID,annotation network number,best ion,auto MS2 verify,identified by n=,partners,neutral M mass,Mots_18102024_Foodomics_CYF1_S52.mzML Peak area,Mots_18102024_Foodomics_CYF1_S53.mzML Peak area,Mots_18102024_Foodomics_CYF1_S54.mzML Peak area,Mots_18102024_Foodomics_CYF2_S55.mzML Peak area,Mots_18102024_Foodomics_CYF2_S56.mzML Peak area,Mots_18102024_Foodomics_CYF2_S57.mzML Peak area,
372,216.15835055482117,1.1651278,,,,,,,,,,,410.71103,377.81726,398.62698,367.61905,415.5193,413.91544,
373,352.08026673073397,1.1694528,,,,13,,,,,,,1031.6879,1015.2043,1017.90356,817.5613,812.2507,813.9366,
374,308.1324828302648,1.1797972,,,,,,,,,,,830.24146,805.6081,845.7323,828.354,830.30914,794.2825,
375,229.1535317479252,1.1827999,,,,13,,,,,,,4127.304,4112.9673,4156.3184,3942.0352,3882.2056,3990.633,
376,127.04924867609161,1.19315,,,,,,,,,,,426.6165,414.2226,419.7418,85.6618,219.12341,193.1634,
379,264.14234194151527,1.2229362,,,,21,,,,,,,213.9964,114.46469,140.23184,1158.6782,1264.6659,1208.6187,
381,281.0668631799001,1.226664,,,,21,,,,,,,2203.2644,2176.6155,2232.9788,1497.7069,1481.1765,1464.598,
385,235.06130323401894,1.2336417,,,,21,,,,,,,1442.0292,1398.8973,1434.7736,890.2437,891.7037,882.6678,
389,265.0946652352108,1.2457639,,,,,,,,,,,911.0868,891.9905,886.0504,585.0304,538.52374,548.1479,
386,280.0642484380368,1.2508,,,,21,,,,,,,760.2388,753.2879,780.0004,353.92908,406.53024,120.44777,
393,271.63103967768444,1.2580196,,,,,,,,,,,21.577143,2.822379,19.968668,271.25778,275.35873,254.50235,
398,190.99907231270575,1.2902833,,,,,,,,,,,1674.523,1652.5061,1700.9508,1275.8141,1327.6959,1283.8246,
410,280.07294908932766,1.3360056,,,,,,,,,,,27.966003,134.72513,142.49467,220.23509,144.12224,514.1216,
406,241.1534841279956,1.3613223,,,,20,,,,,,,5123.785,5127.2344,5143.7896,4995.005,5055.279,5046.233,
411,291.0819135856629,1.3795556,,,,20,,,,,,,4339.6226,4369.678,4382.349,7594.056,7798.5337,7896.552,
413,242.15679151816025,1.3815222,,,,,,,,,,,150.402,589.6602,187.54451,206.16913,189.1241,69.1143,
420,259.0249591025278,1.402103,,,,,,,,,,,161.41614,155.30614,153.01637,11.149605,3.7603168,2.1887832,
418,215.137931853242,1.4026943,,,,25,,,,,,,808.5867,834.03217,801.76965,740.6747,750.21423,789.4335,
430,276.1111818699849,1.4048666,,,,25,,,,,,,1026.0868,784.0227,762.56134,1090.2128,1016.64716,734.12354,
426,398.160844621899,1.4059083,,,,25,,,,,,,0,2.0018091,0,623.89264,619.6568,659.4919,
423,353.0517438902682,1.4064277,,,,25,,,,,,,718.6366,709.1935,752.41815,1575.6898,1653.3075,1568.1547,
421,558.1584079809869,1.4067196,,,,25,,,,,,,7.2142487,10.471575,12.241407,703.7632,708.21423,726.09045,
427,559.1651524085652,1.4098167,,,,25,,,,,,,5.060572,4.9748993,6.8470654,558.71735,574.38763,558.63446,
425,406.14653956322064,1.4101111,,,,25,,,,,,,2.0253549,2.1224566,3.0886853,645.4699,655.0018,662.17975,
433,421.0772208458015,1.4135417,,,,,,,,,,,164.8025,170.23717,165.94148,249.12482,255.9,256.31354,
435,322.6764276967458,1.4146639,,,,25,,,,,,,24.911753,28.544706,45.634895,515.7181,515.8794,558.7213,
434,219.13281483151925,1.4172195,,,,,,,,,,,48.011154,30.505703,74.32384,368.14703,394.10117,382.8682,
436,275.10888506858777,1.4187027,,,,25,,,,,,,5514.9565,5399.836,5446.57,12634.068,12845.687,12725.752,
439,527.2292214982045,1.4223388,,,,25,,,,,,,198.17094,187.80615,198.58423,1278.1852,1246.0696,1280.4995,
442,418.20559193895133,1.4594527,,,,,,,,,,,701.3169,679.9127,687.9065,2139.4597,2188.5103,2159.0015,
445,423.12467344472117,1.5115361,,,,,,,,,,,908.2933,979.7685,1143.9528,1139.8761,1185.4629,1072.2162,
447,121.08310160169587,1.5175695,,,,23,,,,,,,840.1973,811.2736,751.72424,1025.4225,803.08344,1045.1113,
451,166.08534687905066,1.5210055,,,,23,1,[M+H]+,,2,458;451,165.078,32562.086,32311.242,32322.867,36945.46,37264.902,37244.566,
453,120.07983359626547,1.5229416,,,,23,,,,,,,10274.79,10243.765,10154.805,12692.511,12865.926,12853.358,
454,167.0884596215527,1.5239445,,,,23,,,,,,,4704.509,4651.4604,4639.899,5746.0254,5790.6167,5784.2983,
455,166.14282955645294,1.5268861,,,,,,,,,,,698.78015,722.2356,716.1914,756.1412,766.51953,802.97815,
458,188.06715036323462,1.5326389,,,,23,1,[M+Na]+,,2,458;451,165.078,838.685,813.5224,803.23206,872.4418,912.4274,899.3319,
460,441.18515107305024,1.5414389,,,,,,,,,,,322.20258,299.36124,309.2777,0,0,0,
465,437.16146866010223,1.5844916,,,,,,,,,,,5.967799,53.197903,14.718626,838.74646,872.93744,869.1608,
466,190.10636929329624,1.6243888,,,,,,,,,,,389.30542,396.90955,400.7173,2.1506057,2.7981603,3.2472196,
470,360.1276313221765,1.6314334,,,,,,,,,,,291.7864,301.23596,323.2521,0,0,0,
477,237.11405095337284,1.6368445,,,,,,,,,,,20.540428,9.186986,15.502373,313.1102,334.76962,311.55112,
473,350.1195633610021,1.6377054,,,,,,,,,,,521.0772,523.065,518.567,1086.2358,1117.761,1108.9589,
474,472.1797151089574,1.6422973,,,,,,,,,,,65.92257,47.788578,36.59812,382.41644,354.87778,380.8025,
475,490.19018729966706,1.64715,,,,24,,,,,,,1455.9463,1459.2915,1436.195,2314.1616,2321.3572,2360.0266,
478,338.1197949710468,1.6590167,,,,,,,,,,,9.129289,4.744377,2.3720636,456.72568,69.79136,64.779816,
479,310.12738354091016,1.6601806,,,,24,,,,,,,3071.6494,3131.1619,3087.8743,5128.0396,5122.291,5143.0566,
480,328.1377112071674,1.6647304,,,,24,,,,,,,11137.964,11149.375,11058.8955,17684.584,17805.38,17852.346,
486,122.09549276229912,1.7188028,,,,,,,,,,,304.81216,278.07306,296.01468,250.98674,253.93459,250.49597,
493,387.2699506224692,1.7614945,,,,,,,,,,,2.418013,8.281553,2.430997,371.15186,356.3808,364.96738,
503,298.1273646250012,1.826825,,,,,,,,,,,28.770508,8.445992,8.772788,1189.3337,1171.303,1199.4197,
499,461.208621395569,1.8336333,,,,,,,,,,,159.46475,170.26369,165.50227,285.68387,271.39438,287.31253,
500,258.0721518528898,1.8340918,,,,26,2,[M+K]+,,3,505;504;500,219.10935,727.4355,745.3632,755.4744,737.3429,760.0951,782.9744,
501,221.1200800112241,1.8353834,,,,22,,,,,,,627.5033,267.19022,236.91327,626.7815,313.31824,491.4906,
504,220.11682733765767,1.8380445,,,,26,2,[M+H]+,,3,505;500;504,219.10935,6427.587,6458.754,6318.6875,6511.214,6568.3135,6599.004,
505,242.09872999303843,1.838675,,,,26,2,[M+Na]+,,3,505;504;500,219.10935,3819.196,3785.2905,3821.2986,4189.576,4219.7095,4226.1377,
509,115.03805324821887,1.9185529,,,,28,3,[M+H-H2O]+,,2,510;509,132.04134,518.93097,530.7847,513.72797,723.1931,721.0078,744.57776,
510,155.03054726583662,1.9213028,,,,28,3,[M+Na]+,,2,510;509,132.04134,1297.6599,1087.0463,1067.2533,1613.0045,1490.8461,1703.5807,
511,423.1246521964106,1.9425501,,,,,,,,,,,621.91986,626.3871,619.8738,432.1863,404.27887,340.1665,
512,407.15083885689415,1.9434862,,,,28,,,,,,,4859.2056,4868.526,4889.8774,4266.8306,4312.3877,4262.9497,
514,290.1696592996642,1.9547915,,,,,,,,,,,5.4031596,16.229012,7.0159073,663.8281,683.77026,691.43884,
520,211.10649506872645,2.0456362,,,,,,,,,,,519.63916,510.14767,517.05554,342.23962,354.1706,367.53488,
518,410.0881733360978,2.0512474,,,,,,,,,,,18.212574,10.099279,11.751402,542.9053,572.3918,611.6313,
521,418.16916557936264,2.0547473,,,,27,,,,,,,32.828648,78.12168,23.528744,403.36826,423.4849,425.8936,
529,183.09832873649532,2.0617669,,,,,,,,,,,409.3975,391.5951,395.586,12.979573,24.116163,14.477653,
526,360.21151134036313,2.068214,,,,,,,,,,,38.261005,116.20804,28.50515,479.56265,493.40253,483.54544,
523,431.2230565338735,2.074828,,,,,,,,,,,443.9069,447.26355,434.6812,1360.9304,1370.6074,1392.0209,
527,158.0801894335132,2.08075,,,,,,,,,,,708.51013,670.4033,633.2776,736.9885,760.73236,768.2344,
528,250.01260748828705,2.0919278,,,,27,,,,,,,348.37405,335.3212,305.42313,364.96127,413.52335,282.30945,
533,343.1961589464254,2.115761,,,,,,,,,,,526.98065,519.56116,484.2349,1597.0928,1636.4459,1702.8085,
534,167.11687503339837,2.162425,,,,,,,,,,,1111.4546,1109.1316,1088.1334,44.76928,15.435631,132.77133,
536,323.041056433392,2.1901166,,,,29,,,,,,,1438.3845,1417.7772,1406.5499,0,0,0,
538,206.09922664654016,2.2014499,,,,29,6,[M+NH4]+,,2,538;544,188.06551,2929.299,2906.4993,2870.2854,3885.2595,3932.9333,3950.5127,
539,205.09608434307802,2.202922,,,,29,4,[M+H]+,,2,540;539,204.0888,22905.93,22739.34,22570.242,29783.25,29680.557,29947.021,
543,409.1852531666554,2.202964,,,,,,,,,,,19.774036,44.30354,13.381607,303.45166,292.19748,328.43137,
540,227.07800545170517,2.2033167,,,,29,4,[M+Na]+,,2,540;539,204.0888,419.57697,347.4745,359.10074,907.56836,914.3412,928.7734,
542,188.0695719239089,2.2085192,,,,29,5,[M+H]+,,2,542;539,187.06228,13672.787,13566.997,13575.088,18536.55,18719.06,18780.89,
544,189.07288595577083,2.2110054,,,,29,6,[M+H]+,,2,538;544,188.06551,1104.4354,1681.7776,1631.3986,2255.8044,2257.5254,2245.9001,
545,146.05901767492097,2.2114165,,,,,,,,,,,435.7697,383.86975,420.17813,581.1733,579.9193,579.93823,
537,427.20600668977505,2.2145665,,,,,,,,,,,407.3163,749.1931,205.6591,0,0,0,
547,498.13782879346473,2.2170222,,,,29,,,,,,,780.4583,763.65314,771.38885,0,0,0,
551,242.09036596385036,2.2320945,,,,29,,,,,,,770.56757,760.105,749.42505,0,0,0,
552,499.1444624408193,2.2371,,,,29,,,,,,,715.8532,677.9226,687.864,0,0,0,
554,353.14518423943474,2.240122,,,,,,,,,,,416.96564,417.83807,430.73608,0,0,0,
557,245.09836165097192,2.2413113,,,,29,7,[M+Na]+,,2,556;557,222.10905,16600.027,16367.64,16281.608,1039.5531,1030.8378,1033.122,
556,261.0721118367853,2.2421668,,,,29,7,[M+K]+,,2,556;557,222.10905,1953.8578,1947.75,1927.1776,2.3718715,2.4804215,8.116398,
553,409.07751535620827,2.243625,,,,29,,,,,,,1258.9371,1245.4545,1240.0721,2.0528924,2.1698878,2.9205415,
558,393.1053728256623,2.2438388,,,,,,,,,,,615.34796,598.6523,585.98773,0,0,0,
559,399.1222296570447,2.247561,,,,,,,,,,,565.98456,557.0299,553.82074,0,0,0,
560,250.07637707219968,2.2481167,,,,29,,,,,,,919.47314,889.0428,875.2979,0,0,0,
564,454.6888262198085,2.2516139,,,,,,,,,,,23.934034,34.459198,32.013615,390.85406,390.20782,354.82373,
562,408.070035398083,2.2543776,,,,,,,,,,,518.6422,536.392,535.0604,0,0,0,
566,346.1956950136651,2.2757194,,,,,,,,,,,20.425564,14.287716,15.841062,824.9756,825.81683,809.58246,
577,144.07980492738412,2.3039582,,,,,,,,,,,836.1419,864.48035,832.68274,13.323605,40.450455,52.354248,
574,367.1486237246715,2.322875,,,,,,,,,,,1971.6124,1998.6652,1952.7004,3517.427,3466.7078,3460.957,
576,443.11461473426783,2.3339055,,,,,,,,,,,778.2135,807.062,801.08203,1271.3492,1292.168,1317.79,
579,282.9887058620929,2.4050915,,,,,,,,,,,585.77496,566.9025,592.72534,618.32916,624.86676,610.91656,
582,267.01635661994925,2.4156666,,,,,,,,,,,431.952,391.69937,423.47873,414.44507,436.64368,428.38025,
583,332.1812762439725,2.4297278,,,,,,,,,,,17.352678,20.121237,13.671946,539.6114,48.685318,549.2965,
585,462.1565851224263,2.43555,,,,,,,,,,,187.2804,204.88193,196.78505,783.1486,779.63214,814.50714,
589,369.1139791752367,2.4688973,,,,,,,,,,,17.194426,21.878086,13.910643,618.9514,576.83514,617.91,
593,373.24312446394856,2.5201025,,,,,,,,,,,184.12007,89.50084,204.03023,880.4504,896.1215,892.6044,
594,229.1535927243941,2.5228636,,,,,,,,,,,183.64926,2121.0427,961.3284,945.7177,642.1586,684.03174,
597,234.08624288590977,2.6043556,,,,,,,,,,,747.1769,706.9387,725.9891,0,0,0,
599,421.1665680338156,2.6518888,,,,,,,,,,,9.614067,16.077,15.327169,608.3315,626.93384,628.9076,
601,182.0779372622318,2.692522,,,,,,,,,,,451.09174,447.897,398.4591,0,0,0,
602,360.1276688453304,2.7091944,,,,,,,,,,,628.9076,617.1904,496.24805,0,0,0,
603,211.1066529029449,2.7586555,,,,,,,,,,,5297.7603,5218.6494,5246.1616,0,0,0,
607,295.16411164943213,2.8815415,,,,,,,,,,,10.596778,2.3181844,8.1069355,415.80792,443.5822,402.62143,
609,229.15355656942128,2.9029553,,,,,,,,,,,4628.998,277.1692,4563.787,4750.1055,4624.4126,4788.99,
617,262.048540649907,3.0083888,,,,30,,,,,,,708.2267,698.58984,695.50525,0,0,0,
624,238.1062472225716,3.0392554,,,,,,,,,,,506.61792,529.6596,495.5547,398.65634,402.63416,387.83832,
