p.value,m.z,t.score,r.t,pos_inx
4.25600161721275e-05,297.24505,28.2164654211366,8.7395,TRUE
4.57639734154577e-05,374.22752,20.3816167743365,4.9761,TRUE
4.64281100527021e-05,212.09229,19.671695121185,5.6329,TRUE
4.6522355949807e-05,384.30931,18.9338061567452,7.8078,TRUE
4.67355615329629e-05,266.99384,19.4207837077437,4.7735,TRUE
4.73362211539427e-05,119.01799,53.0842882442393,0.6148,TRUE
4.77368185448744e-05,518.32031,39.2456342598487,9.5094,TRUE
5.04417227114082e-05,189.05119,24.1402042742114,4.7686,TRUE
5.20420623637316e-05,294.1534,133.592476068055,1.1566,TRUE
5.21740588749595e-05,357.29829,23.1098703129606,9.2205,TRUE
5.32308171808269e-05,497.32079,26.017370041353,8.7636,TRUE
5.33434570039777e-05,307.2619,21.3515635702057,10.5486,TRUE
5.45512026094933e-05,425.33086,31.7278567321459,10.9511,TRUE
5.47908474873031e-05,500.27306,28.3917196965416,8.9398,TRUE
5.49129987081548e-05,299.18159,19.4979643750907,6.5915,TRUE
5.65512337935516e-05,145.08481,24.1502139733867,3.7186,TRUE
5.66575265572153e-05,367.26155,68.9739682724008,10.9485,TRUE
5.70103774454281e-05,351.21268,61.921129776917,6.6378,TRUE
5.71622549476528e-05,337.13806,17.9084951294046,2.9894,TRUE
5.85985893871937e-05,332.2165,51.4925079731646,4.0862,TRUE
5.98789452834684e-05,261.07555,17.7091299879656,1.7267,TRUE
6.01341027521259e-05,265.25129,21.6139985473176,9.5603,TRUE
6.0937458687729e-05,309.24101,42.3167512499064,8.4872,TRUE
6.32037375433689e-05,374.32492,17.6070401315864,8.8368,TRUE
6.4110540534427e-05,701.37235,17.4738057232671,8.9296,TRUE
6.60058366180562e-05,279.23061,27.2748206856625,7.8605,TRUE
6.6446565201688e-05,508.33803,18.1555632608724,9.5977,TRUE
6.74190908144586e-05,496.33809,33.4925208801503,9.4998,TRUE
6.83895029018996e-05,478.29132,19.6241376441808,10.4157,TRUE
6.94593007759321e-05,619.28323,30.2837397022215,10.6293,TRUE
6.96304629417223e-05,701.36947,41.3503247690449,8.6171,TRUE
7.00128295127328e-05,339.28793,33.8478013020286,8.9942,TRUE
7.05871904135537e-05,247.1293,16.9965327087198,5.037,TRUE
7.17267832810564e-05,545.13288,75.7435201219402,0.7526,TRUE
7.22356084545761e-05,388.30423,17.5349945022264,8.3538,TRUE
7.36780275838927e-05,291.19348,18.4587888497472,7.2899,TRUE
7.39968325875077e-05,263.23561,17.9024980212506,8.9611,TRUE
7.40721026229395e-05,265.15296,18.8208567259952,3.8905,TRUE
7.47069560583551e-05,391.24396,17.5828325903906,8.1924,TRUE
7.60619317298972e-05,500.39191,20.68305829135,9.4767,TRUE
7.62139379064152e-05,513.11994,37.9143421213131,0.7709,TRUE
8.08304078976657e-05,706.39353,16.852312735352,8.9923,TRUE
8.12639773046382e-05,280.13697,31.2465413432135,0.902,TRUE
8.36003262128307e-05,249.01201,17.4708648789857,0.616,TRUE
8.4334360889709e-05,228.06203,17.3667619302721,4.8713,TRUE
8.63984869492364e-05,380.03825,-16.6081844390094,1.0622,TRUE
9.01352196566051e-05,543.33794,20.2672715100962,9.2192,TRUE
9.39627108577587e-05,304.07806,28.3813325075752,0.7465,TRUE
9.4138821845106e-05,329.2674,16.2827954295131,9.0835,TRUE
9.48782750527418e-05,542.3204,44.4892283571053,9.53,TRUE
9.55405214641761e-05,344.1803,59.0665888980362,4.2046,TRUE
9.68887821881007e-05,478.29119,74.2377034815218,8.944,TRUE
9.87624450064197e-05,479.24561,24.7534349770025,5.6691,TRUE
9.93422019473723e-05,416.95176,20.6169350026967,0.6172,TRUE
9.97712404436848e-05,316.28335,52.9009912787181,7.4172,TRUE
0.000100865450746433,311.25644,15.6526474617344,9.0817,TRUE
0.000100975527313999,353.26673,19.7706179270235,8.6002,TRUE
0.000101465890617173,415.95433,16.6365288138207,0.6179,TRUE
0.000101737060211965,401.28808,25.5837999247164,8.6926,TRUE
0.000102084708281987,358.83335,16.8204130537641,0.6854,TRUE
0.000102876025479884,524.29706,15.8361785898209,10.0932,TRUE
0.000106011606340157,147.01285,23.8940951375886,0.616,TRUE
0.00010625629054609,393.25954,17.467336278929,8.1471,TRUE
0.000106524493155396,175.10684,15.4446730086554,0.7771,TRUE
0.000107299804840672,231.11175,15.2744719247443,3.7458,TRUE
0.000108809183856369,717.34303,28.0708292994565,8.7202,TRUE
0.000109942974014723,677.36967,21.6080672157414,8.7486,TRUE
0.000110352542474746,233.14862,31.8809823736616,1.6244,TRUE
0.000110547273452637,705.40068,15.2824980909213,9.308,TRUE
0.000113331447654045,316.13541,52.31202577913,1.1238,TRUE
0.000113821875745126,234.08619,19.3591834547544,2.602,TRUE
0.000114358024166207,161.10633,68.9008049293254,2.324,TRUE
0.000118397094208283,300.97293,24.8949293160691,0.6117,TRUE
0.000118523844450083,579.29046,15.1687624450892,10.6232,TRUE
0.00011933647657017,339.28801,15.0077707542855,9.5649,TRUE
0.000119962483355366,541.33287,15.1265598140049,9.2192,TRUE
0.000121621315225234,142.03396,18.1784906530259,0.6142,TRUE
0.000123537381747413,302.97109,23.9990449462642,0.6135,TRUE
0.000126306828810544,482.313,14.7282489636146,9.2217,TRUE
0.000126436836867891,468.91228,31.4841611903419,0.6154,TRUE
0.000128300039244994,157.08254,14.6204314276639,3.173,TRUE
0.000128648805795632,274.13847,66.3810928758928,0.637,TRUE
0.000129798598106469,515.31734,16.3187229457131,9.078,TRUE
0.00013049972112545,575.26413,25.0239346610775,0.6038,TRUE
0.000130657782300217,353.01481,15.7335513094897,0.9647,TRUE
0.000130666854249087,381.07789,78.2498694982431,0.7446,TRUE
0.000131321346290312,577.27538,19.5736294672588,9.9221,TRUE
0.000132243460058626,301.16116,14.7204367422455,5.6055,TRUE
0.000133148759358983,264.14295,53.1883928792393,1.1836,TRUE
0.000134589589623238,863.42194,17.1767836576278,8.4639,TRUE
0.000134761948305347,252.10797,77.3347000348711,1.1195,TRUE
0.000134771054688258,401.28826,19.9440570759187,8.8522,TRUE
0.000135983995856689,227.07812,15.0366355140114,2.2154,TRUE
0.000137072050813898,188.06721,46.6660295073542,1.5207,TRUE
0.00013873954626805,375.21044,21.8469903338872,6.8294,TRUE
0.000139651020054601,693.52919,14.9359610170583,7.0102,TRUE
0.00014173933458338,541.33288,14.532864569863,9.1126,TRUE
