id,mz,rt,log2FC,t.score,p.value
3942,427.26993,9.7035,-3.328359261539374,12.658614124868208,0.000756791863800426
2266,340.28321,7.4998,-1.2779572538282569,14.422413428646655,0.0007673971574909275
4488,360.32227,10.883,-1.2824990038205328,9.279470499875003,0.0007780445752079896
1028,437.20159,4.7582,1.5757601204220428,-11.221517236586068,0.0007793559195673222
4030,387.27518,9.8588,-2.919348765935727,9.67393870471623,0.0007875086858985872
3147,303.2517,8.8875,-0.8160807769278478,10.977206451625369,0.0007925006540686792
2932,335.19608,8.6452,-2.2257608837419305,16.22009710123988,0.000795832357143838
2010,457.27774,6.881,1.327600816287691,-10.349112348790474,0.0008114655607089174
2780,699.35405,8.4654,1.256546518690099,-9.065361642527964,0.0008214486746339199
3006,1037.55169,8.7286,8.583536045156606,-18.942815244745365,0.0008248717461276792
789,199.09303,4.2032,-10.33453195656027,34.541577269998456,0.0008288492480545569
3067,323.25434,8.8066,-2.3508036783136905,22.10055203137893,0.0008460425220558976
407,379.20622,1.3771,4.482938535846509,-9.528892387245369,0.0008671322039348636
199,515.82343,0.7281,-1.3365458698692203,14.191898067524582,0.0008742089706803346
4415,229.21521,10.663,-1.455529898754837,9.595257729137499,0.000884255938085481
4125,299.29315,10.0135,-0.8702027934951113,8.889460969699217,0.000885172071134923
1185,589.20823,5.0844,2.719587804467044,-13.880735669307134,0.0008874407185295514
2887,311.25664,8.5872,-1.9413201310154067,13.278348561948574,0.0008913587238266224
1046,305.13454,4.773,-4.389900028957112,30.967148839610235,0.0008946165448029705
664,141.08767,3.7754,-8.399455438250202,31.44718288245475,0.0009003987713262565
1005,472.23382,4.7179,3.8018586072401224,-12.923781132687699,0.0009011671528387956
204,333.888,0.7299,-1.1170674322987484,9.980979711997668,0.0009023352172305524
1529,778.34588,5.9113,-9.739848318381119,28.31414025024578,0.0009064388239440649
736,380.20548,4.0466,4.1111922893338715,-15.429415429596478,0.0009070978754829957
516,217.10568,2.0239,-8.010437099319496,27.75850579613257,0.0009190153903940118
803,241.14227,4.2417,2.290965914690495,-9.313736934621883,0.0009273412386324416
2475,553.29662,7.878,3.538025658635452,-12.266862135611534,0.0009342790306818967
3885,308.29333,9.6463,-0.9328358311092018,11.01752253150193,0.0009460942735520168
3066,283.26194,8.8066,-2.6242620922207536,28.233749264821533,0.0009525406740004247
3994,373.26788,9.7411,-2.8063486928364942,11.539469144705134,0.0009548178409884879
888,318.07468,4.4006,-2.4643970041976937,24.847906024397172,0.0009837508817922965
1283,411.20008,5.3174,4.323516960826469,-9.988544341189495,0.0009838109719415293
625,176.1271,3.1379,-10.674756711203962,31.486467856560637,0.0009882361561597396
1228,411.1981,5.2142,4.525565224038086,-9.266016010671565,0.0009962639438914668
610,160.0958,2.9114,-7.747309173331816,29.584038243675714,0.000999437595024427
3643,515.39489,9.3711,-1.0305097862690893,11.881797389589588,0.0010015338863675492
1496,267.11895,5.7912,-1.4307089555052235,14.381503650272641,0.0010030786123145096
3587,311.31159,9.3274,-0.6703779254676725,9.019461853010942,0.0010054065743441247
3083,213.18388,8.8117,-6.686224805181413,31.12135024359884,0.0010174738990652269
4502,338.49573,10.9008,-1.1490438064385167,12.179755230382131,0.0010271307808829998
2817,185.14496,8.5231,-6.060411755137317,9.354139174358595,0.001030836484656249
915,528.75048,4.4665,3.884768868942309,-16.08952607872555,0.0010411300086246341
3952,448.27837,9.757,-6.555178880650572,8.54020902264455,0.001042129924634352
654,153.13757,3.6889,-7.355970903565538,13.787072518252737,0.001044637562669607
4494,338.41629,10.8862,-1.6596047885950105,10.25040934490718,0.0010598491056478122
879,571.37945,4.3823,-7.359598202562007,24.269789206891005,0.0010613442990484747
614,261.14322,2.9591,3.6704724307928194,-11.657420458096976,0.0010673582395214296
2688,861.40643,8.3166,1.4070552024236758,-10.379348977170986,0.001067892039347456
1396,225.11099,5.6042,-1.3375092689823846,25.927059936673995,0.001070539422959481
4026,381.29611,9.8556,-1.3224665771523032,22.44199901434356,0.001074707808575762
742,385.1939,4.0503,2.4811839207486672,-8.868361620799398,0.0010790066291559651
4367,307.26189,10.554,-1.6209170645512927,16.158647746486423,0.0010799137741247305
3987,343.26801,9.7738,-0.97509596470762,15.183254641798706,0.0010857042125598413
3009,539.31329,8.7223,-1.3703954498273978,10.756970136008414,0.0010892664938805584
359,546.27372,1.0983,-6.117639642356652,29.16763921308418,0.0011006302684214656
4315,479.29684,10.4108,-2.6256682930951785,9.322793310605883,0.0011154500841212343
3228,515.31724,8.9733,-0.7095246903797721,8.407072664766766,0.0011173310048872523
2921,701.3691,8.6194,1.3822463592525551,-8.745302897950674,0.0011323438087288316
866,522.26814,4.3482,4.359474386790781,-16.411321930224307,0.0011327653096064169
3925,318.27547,9.7157,-0.9082793667607856,12.226875494694307,0.001137120108632697
2782,354.27056,8.4678,1.3807314380376932,-8.73993291839044,0.0011503670241725412
537,427.20601,2.2146,-10.067992167081734,10.10939575799218,0.0011619645503789964
1108,691.59313,4.9295,5.186016828908811,-15.747485450763143,0.0011630024590425744
909,559.30603,4.4299,4.553103125851932,-15.943690670025996,0.0011699433847629128
