mappingFeatureId,inchikey,inchi,smiles,clean_smiles,annotation_source,mz,rt,compound_name
2206,LBHUIJRTHBBWHP,"InChI=1S/C27H48O9/c1-2-3-4-5-6-7-8-9-10-11-12-13-14-15-16-17-23(30)34-19-21(29)20-35-27-26(33)25(32)24(31)22(18-28)36-27/h6-7,9-10,21-22,24-29,31-33H,2-5,8,11-20H2,1H3",CCCCCC=CCC=CCCCCCCCC(=O)OCC(O)COC1OC(CO)C(O)C(O)C1O,CCCCCC=CCC=CCCCCCCCC(=O)OCC(O)COC1OC(CO)C(O)C(O)C1O,sirius:suspect,534.3619781819897,8.953208,"2-hydroxy-3-{[3,4,5-trihydroxy-6-(hydroxymethyl)oxan-2-yl]oxy}propyl octadeca-9,12-dienoate"
2227,WKQNRCYKYCKESD,"InChI=1S/C26H48NO7P/c1-5-6-7-8-9-10-11-12-13-14-15-16-17-18-19-20-26(29)32-23-25(28)24-34-35(30,31)33-22-21-27(2,3)4/h6-7,9-10,12-13,25,28H,5,8,11,14-24H2,1-4H3/p+1",CCC=CCC=CCC=CCCCCCCCC(=O)OCC(O)COP(=O)(O)OCC[N+](C)(C)C,CCC=CCC=CCC=CCCCCCCCC(=O)OCC(O)COP(=O)(O)OCC[N+](C)(C)C,suspect,518.3225016966758,8.973403,"2-[hydroxy-[2-hydroxy-3-[(9E,12E,15E)-octadeca-9,12,15-trienoyl]oxypropoxy]phosphoryl]oxyethyl-trimethylazanium"
2242,GOECIRGMYVJNBS,"InChI=1S/C21H38O3/c1-15(14-18(22)24-6)8-9-17-20(4)12-7-11-19(2,3)16(20)10-13-21(17,5)23/h15-17,23H,7-14H2,1-6H3",COC(=O)CC(C)CCC1C(C)(O)CCC2C(C)(C)CCCC21C,COC(=O)CC(C)CCC1C(C)(O)CCC2C(C)(C)CCCC21C,suspect,339.2879320125978,8.994156,"methyl 5-(2-hydroxy-2,5,5,8a-tetramethyl-decahydronaphthalen-1-yl)-3-methylpentanoate"
2249,RVNAQNUKCZKJCP,"InChI=1S/C21H42O5/c1-2-3-4-11-14-19(23)15-12-9-7-5-6-8-10-13-16-21(25)26-18-20(24)17-22/h19-20,22-24H,2-18H2,1H3",CCCCCCC(O)CCCCCCCCCCC(=O)OCC(O)CO,CCCCCCC(O)CCCCCCCCCCC(=O)OCC(O)CO,sirius:suspect,357.29844722553645,8.997216,"2,3-dihydroxypropyl 12-hydroxyoctadecanoate"
2349,RVNAQNUKCZKJCP,"InChI=1S/C21H42O5/c1-2-3-4-11-14-19(23)15-12-9-7-5-6-8-10-13-16-21(25)26-18-20(24)17-22/h19-20,22-24H,2-18H2,1H3",CCCCCCC(O)CCCCCCCCCCC(=O)OCC(O)CO,CCCCCCC(O)CCCCCCCCCCC(=O)OCC(O)CO,sirius:suspect,357.2983916011129,9.111942,"2,3-dihydroxypropyl 12-hydroxyoctadecanoate"
2465,RVNAQNUKCZKJCP,"InChI=1S/C21H42O5/c1-2-3-4-11-14-19(23)15-12-9-7-5-6-8-10-13-16-21(25)26-18-20(24)17-22/h19-20,22-24H,2-18H2,1H3",CCCCCCC(O)CCCCCCCCCCC(=O)OCC(O)CO,CCCCCCC(O)CCCCCCCCCCC(=O)OCC(O)CO,suspect,357.2982921878924,9.220496,"2,3-dihydroxypropyl 12-hydroxyoctadecanoate"
2303,GJVRGQPYEPLQJL,"InChI=1S/C29H48O2/c1-20(2)12-9-13-21(3)14-10-15-22(4)16-11-18-29(8)19-17-26-25(7)27(30)23(5)24(6)28(26)31-29/h16,20-21,30H,9-15,17-19H2,1-8H3",CC(=CCCC1(C)CCc2c(C)c(O)c(C)c(C)c2O1)CCCC(C)CCCC(C)C,CC(=CCCC1(C)CCc2c(C)c(O)c(C)c(C)c2O1)CCCC(C)CCCC(C)C,sirius:suspect,429.3711574053141,9.059092,"2,5,7,8-tetramethyl-2-(4,8,12-trimethyltridec-3-en-1-yl)-3,4-dihydro-2H-1-benzopyran-6-ol"
2323,YVYMBNSKXOXSKW,"InChI=1S/C21H44NO7P/c1-2-3-4-5-6-7-8-9-10-11-12-13-14-15-21(24)27-18-20(23)19-29-30(25,26)28-17-16-22/h20,23H,2-19,22H2,1H3,(H,25,26)/t20-/m1/s1",CCCCCCCCCCCCCCCC(=O)OC[C@@H](O)COP(=O)(O)OCCN,CCCCCCCCCCCCCCCC(=O)OC[C@@H](O)COP(=O)(O)OCCN,gnps,454.2911652514522,9.078006,Spectral Match to 1-Palmitoyl-2-hydroxy-sn-glycero-3-phosphoethanolamine from NIST14
2350,NFWYGIXMHGBINM,"InChI=1S/C27H50O9/c1-2-3-4-5-6-7-8-9-10-11-12-13-14-15-16-17-23(30)34-19-21(29)20-35-27-26(33)25(32)24(31)22(18-28)36-27/h9-10,21-22,24-29,31-33H,2-8,11-20H2,1H3",CCCCCCCCC=CCCCCCCCC(=O)OCC(O)COC1OC(CO)C(O)C(O)C1O,CCCCCCCCC=CCCCCCCCC(=O)OCC(O)COC1OC(CO)C(O)C(O)C1O,sirius,541.3328751026453,9.112567,"2-hydroxy-3-{[3,4,5-trihydroxy-6-(hydroxymethyl)oxan-2-yl]oxy}propyl octadec-9-enoate"
2445,NFWYGIXMHGBINM,"InChI=1S/C27H50O9/c1-2-3-4-5-6-7-8-9-10-11-12-13-14-15-16-17-23(30)34-19-21(29)20-35-27-26(33)25(32)24(31)22(18-28)36-27/h9-10,21-22,24-29,31-33H,2-8,11-20H2,1H3",CCCCCCCCC=CCCCCCCCC(=O)OCC(O)COC1OC(CO)C(O)C(O)C1O,CCCCCCCCC=CCCCCCCCC(=O)OCC(O)COC1OC(CO)C(O)C(O)C1O,sirius:suspect,536.3779495236839,9.214847,"2-hydroxy-3-{[3,4,5-trihydroxy-6-(hydroxymethyl)oxan-2-yl]oxy}propyl octadec-9-enoate"
