p.value,m.z,t.score,r.t,pos_inx
0.00140558762369919,368.15743,-11.5165706939175,8.7046,TRUE
0.00141224685435009,213.07228,19.4748143574385,4.1433,TRUE
0.00142720558452771,399.23332,-8.27104387448808,3.9476,TRUE
0.00144973943751065,880.57243,14.9649115251403,0.7063,TRUE
0.00144992761895698,531.2848,-7.88522568025747,4.6345,TRUE
0.00146388975303923,447.18256,-13.1269163251374,5.1246,TRUE
0.00147271532350644,639.48502,24.8165170297876,8.806,TRUE
0.00147888974137639,327.16021,-12.0819116245498,8.5501,TRUE
0.00149025867745138,393.11422,23.2783236308686,3.9201,TRUE
0.00149822885295883,415.19229,-7.74380693224678,6.2494,TRUE
0.00150422685639372,379.21416,13.2444013022937,9.7481,TRUE
0.00150500355959699,418.29355,8.90224984306713,8.5406,TRUE
0.0015133782654933,325.23401,10.5904953244018,8.8912,TRUE
0.00152776640721754,488.27303,13.9973751570812,9.0377,TRUE
0.00153781134603848,543.31221,-10.9299025714589,4.4867,TRUE
0.0015720770164454,391.28055,21.2016535803693,9.5743,TRUE
0.00157733279668483,518.32024,-8.25472059157313,9.5424,TRUE
0.00158033950060472,384.1139,-12.2176253460916,2.0181,TRUE
0.00158149048830289,392.31351,23.8291283673707,9.2729,TRUE
0.00159012285487982,480.24475,-14.2813269829167,4.5309,TRUE
0.0015905165096748,953.48445,-14.6410211967566,4.6714,TRUE
0.00159229747964659,345.33913,10.1385405809804,9.0772,TRUE
0.00161318076046836,392.27796,8.80181047045303,8.6806,TRUE
0.00161371570435765,559.38113,-8.49328116990639,9.2611,TRUE
0.00162541688792931,380.30769,24.4549608251073,9.356,TRUE
0.0016336970547004,580.25785,-15.4115957159134,1.5515,TRUE
0.00164601260273117,207.02668,24.2906698300091,3.0146,TRUE
0.00164699015956683,515.22574,-8.68667491919807,9.0841,TRUE
0.00166135087550235,243.10545,-7.8828165718677,1.8374,TRUE
0.00166531715629818,1038.05428,-14.1174810915332,8.7236,TRUE
0.00168948703731597,350.27335,19.6605777256488,8.964,TRUE
0.00169289195259376,530.34579,13.4500617079653,9.054,TRUE
0.0016960237000043,183.09719,11.7310370911486,5.2108,TRUE
0.00169649180470758,447.18576,22.9717524387523,6.0065,TRUE
0.00169908643920241,598.47517,15.2237646899877,10.3493,TRUE
0.00170316035452458,402.28347,-7.87526072742892,7.2258,TRUE
0.00170893468357826,331.28293,11.4153282860653,9.3698,TRUE
0.00171119902014804,385.22464,-8.14531931528005,3.84,TRUE
0.00171962195850695,206.08004,21.156329830705,4.8726,TRUE
0.00172367823119373,507.40608,12.8592500850434,9.3718,TRUE
0.00175802133097057,524.25351,19.4624319018099,8.5278,TRUE
0.00178198391125758,709.36393,-8.86265499198599,8.9977,TRUE
0.00178973433425449,285.24118,8.12754700958618,8.3135,TRUE
0.00183749361776865,153.10119,15.3993480132475,4.0647,TRUE
0.00185861318738504,225.12221,22.9100306189794,3.9785,TRUE
0.00188299037743086,527.22922,-18.1430107578385,1.4223,TRUE
0.00190199212845807,196.09341,20.6058282792053,4.743,TRUE
0.00191014260433521,306.27778,7.49859157849049,10.4054,TRUE
0.00192797441635194,150.05731,17.4279028142694,0.9136,TRUE
0.00195177025790983,543.40553,-7.36114035547051,9.2564,TRUE
0.0019731820527458,494.60893,-12.1392104402304,4.1475,TRUE
0.00198024296304887,298.08848,9.92148818968932,1.4123,TRUE
0.00198085407743387,378.2368,-7.8228737677933,5.2708,TRUE
0.00198109323722779,459.2245,-13.6104454884401,3.6503,TRUE
0.00200903643560381,533.26259,-8.47279500229684,4.2374,TRUE
0.00200981859318857,675.674,9.4744041268424,10.8868,TRUE
0.00201850905817413,655.45525,22.0539798353096,8.8141,TRUE
0.00203214315785647,407.27421,7.32437000651153,8.6702,TRUE
0.00203568334860069,863.42193,-10.4515711476997,8.4696,TRUE
0.00205972778903642,539.31714,-7.40886140536158,8.8465,TRUE
0.00207216574224818,366.20066,-7.67293337747651,4.3295,TRUE
0.00208359159805981,609.22848,9.10257362636909,5.9465,TRUE
0.00208551334551629,549.37458,-7.57312809240114,10.1476,TRUE
0.00209010131130209,474.25733,15.6655631337806,8.7323,TRUE
0.00209069389317309,113.05655,16.1195586414002,1.2183,TRUE
0.00209614740150805,786.58334,10.3889282110559,0.7015,TRUE
0.00211390765010837,450.29621,11.6327221168932,9.2848,TRUE
0.00212097071156509,415.16482,15.1523752885198,5.6325,TRUE
0.00212836804356971,210.10915,20.5568116365154,5.2444,TRUE
0.002129669367647,383.32144,8.01337818250449,9.894,TRUE
0.00213182791888833,703.38475,-8.82536346508952,8.8925,TRUE
0.00214260869375069,549.453,7.20718989389576,10.0181,TRUE
0.00215414216648866,249.14499,7.66964804124223,7.3443,TRUE
0.00216402379885428,594.15871,7.19839474712229,8.7792,TRUE
0.00216472976501389,485.24682,10.76741619706,6.6144,TRUE
0.00216997189803264,284.09774,-7.62923459474404,1.062,TRUE
0.00217053037525678,307.17506,-7.77758223566132,3.8181,TRUE
0.00218468375241351,585.6251,-7.16823030378913,4.3302,TRUE
0.00218833346905448,422.28841,19.3681930340258,8.9647,TRUE
