"","Pathway total","Hits.total","Hits.sig","Expected","P(Fisher)","P(EASE)","P(Gamma)","Emp.Hits","Empirical","AdjP.Fisher","AdjP.EASE","AdjP.Gamma","Pathway Number","cpd.hits"
"Aspidospermatan-type alkaloids","4","3","3","1.3131","0.089001","0.35963","0.00070591","3","0.03","1","1","0.09035648","P15","EC0003;EC000293;EC0001055"
"Naphthalenes","20","2","2","0.65653","0.094293","0.51919","0.0007229","42","0.42","1","1","0.09035648","P16","EC00044;EC00021"
"Indolines","7","2","2","0.65653","0.094293","0.51919","0.0007229","16","0.16","1","1","0.09035648","P17","EC000103;EC00060"
"Hydropyridines","8","2","2","0.65653","0.094293","0.51919","0.0007229","3","0.03","1","1","0.09035648","P18","EC00033;EC000696"
"Benzodiazines","8","2","2","0.65653","0.094293","0.51919","0.0007229","3","0.03","1","1","0.09035648","P19","EC00022;EC00093"
"Furanoid lignans","3","1","1","0.65653","0.094293","0.51919","0.0007229","5","0.05","1","1","0.09035648","P20","EC0001058;EC000415"
"Monosaccharide phosphates","33","14","12","2.2979","0.13509","0.36744","0.00086899","18","0.18","1","1","0.10080284","P21","EC000461;EC000826;EC000546;EC000553"
"Methoxyphenols","25","11","6","4.924","0.14396","0.29658","0.00090465","10","0.1","1","1","0.10403475","P22","EC000100;EC000496;EC000151;EC000575;EC000150;EC000593;EC000594"
"Organooxygen compounds","95","11","6","4.924","0.14396","0.29658","0.00090465","9","0.09","1","1","0.10403475","P23","EC000932;EC00092;EC000953;EC00081;EC00082;EC00091;EC000786"
"Sugar acids","31","5","4","1.6413","0.17251","0.48523","0.0010301","3","0.03","1","1","0.1164013","P24","EC000281;EC000572;EC000153"
"Hypoxanthines","9","3","3","1.6413","0.17251","0.48523","0.0010301","4","0.04","1","1","0.1164013","P25","EC000186;EC000522;EC000281"
"Benzodioxoles","10","4","3","1.6413","0.17251","0.48523","0.0010301","2","0.02","1","1","0.1164013","P26","EC000114;EC000115;EC000454"
"Organic dicarboxylic acids","27","15","10","5.2523","0.19155","0.361","0.0011238","9","0.09","1","1","0.123618","P27","EC000600;EC00026;EC0001;EC000579;EC000451;EC0001005;EC00075"
"Purine 2'-deoxyribonucleosides","3","3","2","0.9848","0.22516","0.66682","0.0013116","31","0.31","1","1","0.1429644","P28","EC000190;EC000896"
"Purine deoxyribonucleosides","10","4","3","0.9848","0.22516","0.66682","0.0013116","25","0.25","1","1","0.1429644","P29","EC000190;EC000104"
"Carboxylic acids","13","2","2","0.9848","0.22516","0.66682","0.0013116","6","0.06","1","1","0.1429644","P30","EC000527;EC000560"
"Beta-keto acids","8","2","2","0.9848","0.22516","0.66682","0.0013116","11","0.11","1","1","0.1429644","P31","EC000846;EC00065"
"3-alkylindoles","4","3","2","0.9848","0.22516","0.66682","0.0013116","16","0.16","1","1","0.1429644","P32","EC000159;EC000521"
"O-glycosyl compounds","24","4","3","0.9848","0.22516","0.66682","0.0013116","15","0.15","1","1","0.1429644","P33","EC000762;EC00092"
"Acylaminobenzoic acids","4","3","3","0.9848","0.22516","0.66682","0.0013116","6","0.06","1","1","0.1429644","P34","EC00069;EC000105"
"Phenols","8","5","4","2.9544","0.28684","0.55484","0.0017475","30","0.3","1","1","0.178245","P35","EC000100;EC000443;EC000129;EC00056"
